year,month,state,revenue,handle,hold,taxes,population,poverty,unemployed,med_income,online,in_person,handle_capita,tax_rate,unemployment_rate,poverty_rate,tax_group,season,tax_capita,rv_aftertax
2018,0.0,Alabama,0.0,0.0,0.0,0.0,4763828.0,800422.0,124054.0,31962.0,0.0,0.0,0.0,0.0,2.6040822632555165,16.802075977554182,Low,No Data,0.0,0.0
2019,0.0,Alabama,0.0,0.0,0.0,0.0,4754288.0,795989.0,129829.0,31962.0,0.0,0.0,0.0,0.0,2.7307769323187827,16.74254904204373,Low,No Data,0.0,0.0
2020,0.0,Alabama,0.0,0.0,0.0,0.0,4771614.0,762642.0,123105.0,32080.0,0.0,0.0,0.0,0.0,2.5799446476601005,15.98289383843706,Low,No Data,0.0,0.0
2021,0.0,Alabama,0.0,0.0,0.0,0.0,4920613.0,794326.0,122512.0,34925.0,0.0,0.0,0.0,0.0,2.4897710915286364,16.14282610723501,Low,No Data,0.0,0.0
2018,0.0,Alaska,0.0,0.0,0.0,0.0,720869.0,78620.0,25392.0,40334.0,0.0,0.0,0.0,0.0,3.52241530708076,10.906281168977996,Low,No Data,0.0,0.0
2019,0.0,Alaska,0.0,0.0,0.0,0.0,719376.0,76933.0,26715.0,40334.0,0.0,0.0,0.0,0.0,3.7136351504637353,10.694407375280798,Low,No Data,0.0,0.0
2020,0.0,Alaska,0.0,0.0,0.0,0.0,719445.0,74369.0,26291.0,40471.0,0.0,0.0,0.0,0.0,3.654344668459715,10.33699587876766,Low,No Data,0.0,0.0
2021,0.0,Alaska,0.0,0.0,0.0,0.0,716769.0,75165.0,24603.0,41962.0,0.0,0.0,0.0,0.0,3.4324866170272434,10.486642139936295,Low,No Data,0.0,0.0
2018,0.0,Arizona,0.0,0.0,0.0,0.0,7013444.0,983499.0,178702.0,34397.0,1.0,1.0,0.0,0.0,2.547992113432431,14.023053438510384,Low,No Data,0.0,0.0
2019,0.0,Arizona,0.0,0.0,0.0,0.0,6891224.0,1043763.9999999999,192560.0,34397.0,1.0,1.0,0.0,0.0,2.7942786361319847,15.146278803301124,Low,No Data,0.0,0.0
2020,0.0,Arizona,0.0,0.0,0.0,0.0,7012999.0,990528.0,196249.0,34302.0,1.0,1.0,0.0,0.0,2.798360587246626,14.124171413684786,Low,No Data,0.0,0.0
2021,9.0,Arizona,31238322.0,291212868.0,0.11,31392.999999999996,7126930.0,908961.0,202345.0,39023.0,1.0,1.0,40.86091318421817,0.1004951546373073,2.839160760664129,12.753892629785897,Low,Autumn,0.004404841916505423,31206929.0
2021,10.0,Arizona,36326542.0,486097352.0,0.07,1022840.9999999999,7126930.0,908961.0,202345.0,39023.0,1.0,1.0,68.20571438192883,2.815685016206607,2.839160760664129,12.753892629785897,Low,Autumn,0.14351775589208815,35303701.0
2021,11.0,Arizona,51416143.0,466725687.0,0.11,3177148.0,7126930.0,908961.0,202345.0,39023.0,1.0,1.0,65.48762047613769,6.179281086875769,2.839160760664129,12.753892629785897,Low,Autumn,0.4457947531405528,48238995.0
2021,12.0,Arizona,39822928.0,499213733.0,0.08,1723902.0,7126930.0,908961.0,202345.0,39023.0,1.0,1.0,70.04611143928733,4.328918255332707,2.839160760664129,12.753892629785897,Low,Winter,0.2418856365924739,38099026.0
2022,1.0,Arizona,41890200.0,563694591.0,0.07,1952971.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,77.82921642465037,4.662119063647345,2.8805558017189488,11.516553605013987,Low,Winter,0.2696463742190953,39937229.0
2022,2.0,Arizona,25629835.0,491665554.0,0.05,670686.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,67.8841795216226,2.6168174707328395,2.8805558017189488,11.516553605013987,Low,Winter,0.09260150209066503,24959149.0
2022,3.0,Arizona,37231646.0,690979294.0,0.05,1864457.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,95.40339374602608,5.007721119823712,2.8805558017189488,11.516553605013987,Low,Spring,0.25742526127495585,35367189.0
2022,4.0,Arizona,29249275.0,512877848.0,0.06,1647450.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,70.81295735087325,5.632447299975811,2.8805558017189488,11.516553605013987,Low,Spring,0.22746314164790393,27601825.0
2022,5.0,Arizona,55162888.0,461450688.0,0.12,4125124.9999999995,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,63.71241810559757,7.478080190435279,2.8805558017189488,11.516553605013987,Low,Spring,0.5695553080156057,51037763.0
2022,6.0,Arizona,15369245.0,318774198.0,0.05,766831.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,44.01309936773254,4.989386271088789,2.8805558017189488,11.516553605013987,Low,Summer,0.10587622590852762,14602414.0
2022,7.0,Arizona,21992628.0,290511533.0,0.08,1496427.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,40.1108780121574,6.804220941671909,2.8805558017189488,11.516553605013987,Low,Summer,0.20661142169215937,20496201.0
2022,8.0,Arizona,37161759.0,361008835.0,0.1,2767590.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,49.84442852393079,7.447413885871225,2.8805558017189488,11.516553605013987,Low,Summer,0.38212068116988224,34394169.0
2022,9.0,Arizona,56428816.0,537966149.0,0.1,3058838.0,7242711.887581903,834110.7969900902,208630.3574795285,44393.75339630342,1.0,1.0,74.27689480819714,5.420702075336829,2.8805558017189488,11.516553605013987,Low,Autumn,0.4223332430556261,53369978.0
